Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
creparatTestSuite,,,2019-04-29 14:17:07,2019-04-29 14:17:13,5.765s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:17:07,2019-04-29 14:17:11,3.200s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:17:08,2019-04-29 14:17:10,2.509s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:17:10,2019-04-29 14:17:11,0.291s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:17:11,2019-04-29 14:17:11,0.700s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:17:11,2019-04-29 14:17:11,0.402s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:17:11,2019-04-29 14:17:11,0.289s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:17:11,2019-04-29 14:17:12,0.784s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:17:11,2019-04-29 14:17:12,0.375s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:17:12,2019-04-29 14:17:12,0.401s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:17:12,2019-04-29 14:17:13,0.848s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:17:12,2019-04-29 14:17:13,0.544s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:17:13,2019-04-29 14:17:13,0.297s,PASSED
