Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
creparatTestSuite,,,2019-04-29 14:07:53,2019-04-29 14:07:58,5.151s,ERROR
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:07:53,2019-04-29 14:07:56,3.298s,ERROR
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:07:53,2019-04-29 14:07:56,2.921s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""testData/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:07:56,2019-04-29 14:07:56,0.016s,ERROR
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:07:56,2019-04-29 14:07:57,0.554s,ERROR
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:07:56,2019-04-29 14:07:57,0.540s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""testData/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:07:57,2019-04-29 14:07:57,0.003s,ERROR
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:07:57,2019-04-29 14:07:57,0.479s,ERROR
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:07:57,2019-04-29 14:07:57,0.467s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""testData/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:07:57,2019-04-29 14:07:57,0.002s,ERROR
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 14:07:57,2019-04-29 14:07:58,0.386s,ERROR
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 14:07:57,2019-04-29 14:07:58,0.375s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""testData/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 14:07:58,2019-04-29 14:07:58,0.003s,ERROR
